WKT,fid,ID,CODIGO,NOMOFICIAL,ALT_DI,ALT_DF,ALT_II,ALT_IF,TIPO_C,LONG,pto_medio,DIRECCION,ESTADO,CANT_LINEA,OBSERVA,NOM_MAPA,SENTIDO,COD_SENT,RED_JERARQ,RED_TP,FFCC,METROBUS,EXTENSION,PAX BENEFI
"MULTILINESTRING ((-58.4914272695229 -34.6458492280816,-58.4931524571849 -34.645402950697))",2,21839,2117,BRUIX,4702,4800,4701,4799,AVENIDA,165.73,-58.4922898634,BRUIX4702,En curso,8,Plan 2020-2023,AV. BRUIX,CRECIENTE-DECRECIENTE,,VÍA LOCAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4882048600878 -34.6466870125249,-58.4880223418315 -34.6467343759527))",4,22108,2117,BRUIX,0,0,0,0,AVENIDA,17.54,-58.488113601,BRUIX0,En curso,8,Plan 2020-2023,AV. BRUIX,CRECIENTE-DECRECIENTE,,VÍA LOCAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4690224383206 -34.6359748110728,-58.4702104841036 -34.6363292622512))",8,19026,4078,DIRECTORIO,3002,3100,3001,3099,AVENIDA,115.81,-58.4696164612,DIRECTORIO3002,En curso,8,Plan 2020-2023,AV. DIRECTORIO,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4724169546901 -34.6369875080186,-58.4734922968836 -34.6373083434617))",9,19299,4078,DIRECTORIO,3302,3400,3301,3399,AVENIDA,104.82,-58.4729546258,DIRECTORIO3302,En curso,8,Plan 2020-2023,AV. DIRECTORIO,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4800487517073 -34.6376825287995,-58.4804033316241 -34.6378448774361))",12,19439,1033,"ALBERDI, JUAN BAUTISTA",302,400,301,399,AVENIDA,37.17,-58.4802260417,"ALBERDI, JUAN BAUTISTA302",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4804033316241 -34.6378448774361,-58.4814640118947 -34.6383305795332))",13,19575,1033,"ALBERDI, JUAN BAUTISTA",3902,4000,3901,3999,AVENIDA,111.18,-58.4809336718,"ALBERDI, JUAN BAUTISTA3902",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.472280251026 -34.6344758175323,-58.4733525015523 -34.6348640511512))",15,18634,1033,"ALBERDI, JUAN BAUTISTA",3202,3300,3201,3299,AVENIDA,107.34,-58.4728163763,"ALBERDI, JUAN BAUTISTA3202",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4734922968836 -34.6373083434617,-58.4744154233902 -34.6379169398483))",18,19457,4078,DIRECTORIO,3402,3500,3401,3499,AVENIDA,108.27,-58.4739538601,DIRECTORIO3402,En curso,8,Plan 2020-2023,AV. DIRECTORIO,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.471196085357 -34.6341199707188,-58.4713361637783 -34.6341629904607,-58.472280251026 -34.6344758175323))",19,18517,1033,"ALBERDI, JUAN BAUTISTA",3102,3200,3101,3199,AVENIDA,106.96,-58.4717386583,"ALBERDI, JUAN BAUTISTA3102",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4713029361834 -34.6366551865658,-58.4724169546901 -34.6369875080186))",20,19192,4078,DIRECTORIO,3202,3300,3201,3299,AVENIDA,108.59,-58.4718599454,DIRECTORIO3202,En curso,8,Plan 2020-2023,AV. DIRECTORIO,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4916361220387 -34.6431226857271,-58.492331743752 -34.6434559798089))",21,21073,1033,"ALBERDI, JUAN BAUTISTA",4652,4700,4651,4699,AVENIDA,73.72,-58.4919839329,"ALBERDI, JUAN BAUTISTA4652",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.477351832433 -34.636489393375,-58.4785455731706 -34.6369942604585))",22,19197,1033,"ALBERDI, JUAN BAUTISTA",3702,3800,3701,3799,AVENIDA,122.95,-58.4779487028,"ALBERDI, JUAN BAUTISTA3702",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4760723520843 -34.6389346893872,-58.4774087298386 -34.6397554772225))",23,20008,4078,DIRECTORIO,3702,3800,3701,3799,AVENIDA,152.66,-58.476740541,DIRECTORIO3702,En curso,8,Plan 2020-2023,AV. DIRECTORIO,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4763927771705 -34.6360837874397,-58.477351832433 -34.636489393375))",24,19064,1033,"ALBERDI, JUAN BAUTISTA",3602,3700,3601,3699,AVENIDA,98.78,-58.4768723048,"ALBERDI, JUAN BAUTISTA3602",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4674919592085 -34.6355186687831,-58.4677514117925 -34.6355956326509,-58.4690224383206 -34.6359748110728))",25,18926,4078,DIRECTORIO,2902,3000,2901,2999,AVENIDA,149.18,-58.4682572585,DIRECTORIO2902,En curso,8,Plan 2020-2023,AV. DIRECTORIO,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4887115398821 -34.641728512079,-58.4895440071399 -34.6421226398629))",26,20682,1033,"ALBERDI, JUAN BAUTISTA",4452,4500,4451,4499,AVENIDA,87.96,-58.4891277735,"ALBERDI, JUAN BAUTISTA4452",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4936651337138 -34.6440948937963,-58.4948407838829 -34.6446582690854,-58.4949640146477 -34.6446878149274,-58.4950820565372 -34.6447407430279))",27,21485,1033,"ALBERDI, JUAN BAUTISTA",4802,4890,4801,4889,AVENIDA,148.67,-58.4943684293,"ALBERDI, JUAN BAUTISTA4802",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4839008054052 -34.6394569768735,-58.4846063350418 -34.6397903839371))",28,20018,1033,"ALBERDI, JUAN BAUTISTA",4172,4200,4171,4199,AVENIDA,74.51,-58.4842535702,"ALBERDI, JUAN BAUTISTA4172",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4853593055567 -34.6459792428032,-58.4850596181168 -34.645716402695))",30,21891,4078,DIRECTORIO,882,900,881,899,AVENIDA,40.06,-58.4852094618,DIRECTORIO882,En curso,8,Plan 2020-2023,AV. DIRECTORIO,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4700098552601 -34.6337554581488,-58.471196085357 -34.6341199707188))",31,18400,1033,"ALBERDI, JUAN BAUTISTA",3002,3100,3001,3099,AVENIDA,116.04,-58.4706029703,"ALBERDI, JUAN BAUTISTA3002",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4753231330641 -34.6384744728088,-58.4760723520843 -34.6389346893872))",33,19751,4078,DIRECTORIO,3602,3700,3601,3699,AVENIDA,85.59,-58.4756977426,DIRECTORIO3602,En curso,8,Plan 2020-2023,AV. DIRECTORIO,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4753994767303 -34.6356636699913,-58.4763927771705 -34.6360837874397))",38,18948,1033,"ALBERDI, JUAN BAUTISTA",3502,3600,3501,3599,AVENIDA,102.31,-58.475896127,"ALBERDI, JUAN BAUTISTA3502",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4896235214746 -34.6421602995751,-58.4895440071399 -34.6421226398629))",40,20702,1033,"ALBERDI, JUAN BAUTISTA",0,0,0,0,AVENIDA,8.4,-58.4895837643,"ALBERDI, JUAN BAUTISTA0",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.481745396328 -34.6384594132881,-58.4828819358178 -34.638979740127))",41,19766,1033,"ALBERDI, JUAN BAUTISTA",4002,4100,4001,4099,AVENIDA,119.13,-58.4823136661,"ALBERDI, JUAN BAUTISTA4002",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4814640118947 -34.6383305795332,-58.481745396328 -34.6384594132881))",42,19627,1033,"ALBERDI, JUAN BAUTISTA",0,0,0,0,AVENIDA,29.49,-58.4816047041,"ALBERDI, JUAN BAUTISTA0",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4878056186605 -34.6412999560217,-58.488044497925 -34.6414126566497,-58.4887115398821 -34.641728512079))",43,20571,1033,"ALBERDI, JUAN BAUTISTA",4402,4450,4401,4449,AVENIDA,95.7,-58.488258659,"ALBERDI, JUAN BAUTISTA4402",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4799288475817 -34.6413032245001,-58.4819953545083 -34.6430659986255))",44,20974,4078,DIRECTORIO,4002,4100,4001,4099,AVENIDA,272.28,-58.480962101,DIRECTORIO4002,En curso,8,Plan 2020-2023,AV. DIRECTORIO,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4869677993217 -34.6409048314329,-58.4878056186605 -34.6412999560217))",46,20440,1033,"ALBERDI, JUAN BAUTISTA",4352,4400,4351,4399,AVENIDA,88.44,-58.487386709,"ALBERDI, JUAN BAUTISTA4352",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4846063350418 -34.6397903839371,-58.4848799753499 -34.6399196343666))",49,20044,1033,"ALBERDI, JUAN BAUTISTA",4202,4220,4201,4219,AVENIDA,28.9,-58.4847431552,"ALBERDI, JUAN BAUTISTA4202",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4744154233902 -34.6379169398483,-58.4753231330641 -34.6384744728088))",50,19633,4078,DIRECTORIO,3502,3600,3501,3599,AVENIDA,103.69,-58.4748692782,DIRECTORIO3502,En curso,8,Plan 2020-2023,AV. DIRECTORIO,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4860656461156 -34.6404793603286,-58.4869677993217 -34.6409048314329))",52,20313,1033,"ALBERDI, JUAN BAUTISTA",4302,4350,4301,4349,AVENIDA,95.23,-58.4865167227,"ALBERDI, JUAN BAUTISTA4302",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4786755945782 -34.6405335115916,-58.4799288475817 -34.6413032245001))",53,20444,4078,DIRECTORIO,3902,4000,3901,3999,AVENIDA,143.16,-58.4793022211,DIRECTORIO3902,En curso,8,Plan 2020-2023,AV. DIRECTORIO,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4702104841036 -34.6363292622512,-58.4713029361834 -34.6366551865658))",54,19106,4078,DIRECTORIO,3102,3200,3101,3199,AVENIDA,106.49,-58.4707567101,DIRECTORIO3102,En curso,8,Plan 2020-2023,AV. DIRECTORIO,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4845696058156 -34.6452926052295,-58.4850596181168 -34.645716402695))",55,21789,4078,DIRECTORIO,4322,4380,4321,4379,AVENIDA,65.03,-58.484814612,DIRECTORIO4322,En curso,8,Plan 2020-2023,AV. DIRECTORIO,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4828819358178 -34.638979740127,-58.4839008054052 -34.6394569768735))",56,19917,1033,"ALBERDI, JUAN BAUTISTA",4102,4170,4101,4169,AVENIDA,107.38,-58.4833913706,"ALBERDI, JUAN BAUTISTA4102",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4953022062535 -34.6448479412148,-58.4950820565372 -34.6447407430279))",57,21524,1033,"ALBERDI, JUAN BAUTISTA",4892,4900,4891,4899,AVENIDA,23.43,-58.4951921314,"ALBERDI, JUAN BAUTISTA4892",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4853593055567 -34.6459792428032,-58.4860688104941 -34.6465960292785))",58,22060,4078,DIRECTORIO,4442,4500,4441,4499,AVENIDA,94.41,-58.485714058,DIRECTORIO4442,En curso,8,Plan 2020-2023,AV. DIRECTORIO,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4908788875869 -34.6427597530939,-58.4916361220387 -34.6431226857271))",59,20990,1033,"ALBERDI, JUAN BAUTISTA",4602,4650,4601,4649,AVENIDA,80.26,-58.4912575048,"ALBERDI, JUAN BAUTISTA4602",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4753994767303 -34.6356636699913,-58.4743997107296 -34.6352431929194))",61,18835,1033,"ALBERDI, JUAN BAUTISTA",3402,3500,3401,3499,AVENIDA,102.85,-58.4748995937,"ALBERDI, JUAN BAUTISTA3402",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4684847783897 -34.6332868626268,-58.4700098552601 -34.6337554581488))",62,18307,1033,"ALBERDI, JUAN BAUTISTA",2902,3000,2901,2999,AVENIDA,149.19,-58.4692473168,"ALBERDI, JUAN BAUTISTA2902",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4819953545083 -34.6430659986255,-58.4845696058156 -34.6452926052295))",67,21670,4078,DIRECTORIO,4102,4300,4101,4299,AVENIDA,341.63,-58.4832824802,DIRECTORIO4102,En curso,8,Plan 2020-2023,AV. DIRECTORIO,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4853195401148 -34.640127306715,-58.485516484253 -34.6402203715772,-58.4860656461156 -34.6404793603286))",69,20205,1033,"ALBERDI, JUAN BAUTISTA",4262,4300,4261,4299,AVENIDA,78.77,-58.4856925575,"ALBERDI, JUAN BAUTISTA4262",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.492331743752 -34.6434559798089,-58.4936651337138 -34.6440948937963))",72,21270,1033,"ALBERDI, JUAN BAUTISTA",4702,4800,4701,4799,AVENIDA,141.31,-58.4929984387,"ALBERDI, JUAN BAUTISTA4702",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4953022062535 -34.6448479412148,-58.4952335454459 -34.6449036654983))",73,21543,5067,ESCALADA,0,0,0,0,AVENIDA,8.82,-58.4952678758,ESCALADA0,En curso,8,Plan 2020-2023,ESCALADA,CRECIENTE-DECRECIENTE,,VÍA LOCAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4860688104941 -34.6465960292785,-58.4866231078712 -34.6470778379772))",75,22213,4078,DIRECTORIO,4502,4550,4501,4549,AVENIDA,73.75,-58.4863459592,DIRECTORIO4502,En curso,8,Plan 2020-2023,AV. DIRECTORIO,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4866231078712 -34.6470778379772,-58.4880223418315 -34.6467343759527))",76,22215,2117,BRUIX,4402,4500,4401,4499,AVENIDA,133.82,-58.4873227249,BRUIX4402,En curso,8,Plan 2020-2023,AV. BRUIX,CRECIENTE-DECRECIENTE,,VÍA LOCAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4785455731706 -34.6369942604585,-58.4800487517073 -34.6376825287995))",79,19404,1033,"ALBERDI, JUAN BAUTISTA",3802,3900,3801,3899,AVENIDA,157.56,-58.4792971624,"ALBERDI, JUAN BAUTISTA3802",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4882048600878 -34.6466870125249,-58.4895961502093 -34.64632592791))",80,22088,2117,BRUIX,4512,4600,4511,4599,AVENIDA,133.69,-58.4889005051,BRUIX4512,En curso,8,Plan 2020-2023,AV. BRUIX,CRECIENTE-DECRECIENTE,,VÍA LOCAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4896235214746 -34.6421602995751,-58.4899935666052 -34.6423355045154,-58.4908788875869 -34.6427597530939))",81,20885,1033,"ALBERDI, JUAN BAUTISTA",4522,4530,4521,5429,AVENIDA,132.93,-58.490251616,"ALBERDI, JUAN BAUTISTA4522",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4733525015523 -34.6348640511512,-58.4743369971972 -34.6352204516987))",82,18732,1033,"ALBERDI, JUAN BAUTISTA",3302,3400,3301,3399,AVENIDA,98.55,-58.4738447494,"ALBERDI, JUAN BAUTISTA3302",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4848799753499 -34.6399196343666,-58.4853195401148 -34.640127306715))",83,20093,1033,"ALBERDI, JUAN BAUTISTA",4222,4260,4221,4259,AVENIDA,46.42,-58.4850997577,"ALBERDI, JUAN BAUTISTA4222",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4774087298386 -34.6397554772225,-58.4786755945782 -34.6405335115916))",84,20229,4078,DIRECTORIO,3802,3900,3801,3899,AVENIDA,144.71,-58.4780421622,DIRECTORIO3802,En curso,8,Plan 2020-2023,AV. DIRECTORIO,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4931524571849 -34.645402950697,-58.4948878504423 -34.6449524911279))",85,21697,2117,BRUIX,4802,4900,4801,4899,AVENIDA,166.76,-58.4940201538,BRUIX4802,En curso,8,Plan 2020-2023,AV. BRUIX,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4895961502093 -34.64632592791,-58.4914272695229 -34.6458492280816))",87,21969,2117,BRUIX,4602,4700,4601,4699,AVENIDA,176.01,-58.4905117099,BRUIX4602,En curso,8,Plan 2020-2023,AV. BRUIX,CRECIENTE-DECRECIENTE,,VÍA LOCAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.3684328065959 -34.6205974704333,-58.3684024717748 -34.6208299902138,-58.3683111146611 -34.6216876250992))",90,14867,17028,PASEO COLON,1102,1200,1101,1199,AVENIDA,121.45,-58.3683692122,PASEO COLON1102,Proyectado,21,Plan 2020-2023,AV.PASEO COLON,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB del Bajo 2,"1,90km",130.000pax/dia
"MULTILINESTRING ((-58.3694173924013 -34.6171200485517,-58.3695044830235 -34.6175699534096,-58.3695400388953 -34.6177523067066))",91,13816,17028,PASEO COLON,811,819,81,819,AVENIDA,70.58,-58.3696780454,PASEO COLON802,Proyectado,21,Plan 2020-2023,AV.PASEO COLON,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB del Bajo 2,"1,90km",130.000pax/dia
"MULTILINESTRING ((-58.3683111146611 -34.6216876250992,-58.3682115764317 -34.6226211715431,-58.3681872521163 -34.6228109479101))",92,15169,17028,PASEO COLON,1202,1250,1201,1249,AVENIDA,125.13,-58.3682512029,PASEO COLON1202,Proyectado,21,Plan 2020-2023,AV.PASEO COLON,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB del Bajo 2,"1,90km",130.000pax/dia
"MULTILINESTRING ((-58.3665658126412 -34.6282674701554,-58.3656149935516 -34.6288691313959,-58.3655733501264 -34.6289265649331))",93,16912,2115,"BROWN, ALTE.",202,300,201,299,AVENIDA,117.23,-58.366060429,"BROWN, ALTE.202",Proyectado,21,Plan 2020-2023,AV. ALMTE. BROWN,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB del Bajo 2,"1,90km",130.000pax/dia
"MULTILINESTRING ((-58.3655111928708 -34.6289677843928,-58.3653109930142 -34.6291007277015,-58.3648065717094 -34.6294328700985))",94,17060,2115,"BROWN, ALTE.",302,400,301,399,AVENIDA,82.68,-58.3651591401,"BROWN, ALTE.302",Proyectado,21,Plan 2020-2023,AV. ALMTE. BROWN,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB del Bajo 2,"1,90km",130.000pax/dia
"MULTILINESTRING ((-58.3623540687799 -34.631047479482,-58.3609395496842 -34.6319786618929))",95,17773,2115,"BROWN, ALTE.",702,800,701,799,AVENIDA,165.81,-58.3616468092,"BROWN, ALTE.702",Proyectado,21,Plan 2020-2023,AV. ALMTE. BROWN,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB del Bajo 2,"1,90km",130.000pax/dia
"MULTILINESTRING ((-58.3648065717094 -34.6294328700985,-58.3640798603903 -34.6299113145544))",96,17175,2115,"BROWN, ALTE.",402,500,401,499,AVENIDA,85.19,-58.364443216,"BROWN, ALTE.402",Proyectado,21,Plan 2020-2023,AV. ALMTE. BROWN,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB del Bajo 2,"1,90km",130.000pax/dia
"MULTILINESTRING ((-58.3640798603903 -34.6299113145544,-58.3633500712091 -34.6303917240243))",97,17326,2115,"BROWN, ALTE.",502,600,501,599,AVENIDA,85.55,-58.3637149658,"BROWN, ALTE.502",Proyectado,21,Plan 2020-2023,AV. ALMTE. BROWN,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB del Bajo 2,"1,90km",130.000pax/dia
"MULTILINESTRING ((-58.3633500712091 -34.6303917240243,-58.3623540687799 -34.631047479482))",98,17514,2115,"BROWN, ALTE.",602,700,601,699,AVENIDA,116.76,-58.36285207,"BROWN, ALTE.602",Proyectado,21,Plan 2020-2023,AV. ALMTE. BROWN,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB del Bajo 2,"1,90km",130.000pax/dia
